"","Albania","Algeria","Argentina","Armenia","Australia","Austria","Bahrain","Bangladesh","Belgium","Benin","Bolivia","Botswana","Brazil","Bulgaria","Burundi","Cambodia","Cameroon","Canada","Central African Republic","Chile","China","Colombia","Costa Rica","Croatia","Cuba","Denmark","Dominican Republic","Ecuador","Egypt","El Salvador","Estonia","Finland","France","Germany","Ghana","Greece","Guatemala","Haiti","Honduras","Hungary","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Latvia","Lesotho","Liberia","Lithuania","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Morocco","Mozambique","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Sierra Leone","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Tajikistan","Tanzania","Thailand","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Venezuela","Yemen","Zambia","Zimbabwe"
"GE_status","Medium","Low","Medium","Medium","Medium","High","Low","Low","Medium","Medium","Medium","High","Medium","High","Medium","Medium","Low","High","Low","Medium","Medium","Medium","Medium","High","High","High","Medium","Medium","Low","Medium","High","High","Medium","High","Medium","Medium","Low","Low","Medium","High","Low","Medium","Low","Low","Medium","Medium","Medium","Medium","Medium","Low","High","Low","Low","High","High","Medium","Low","High","Medium","Medium","Low","Low","Medium","Medium","High","High","Low","Medium","Medium","Low","High","High","Medium","Low","High","Low","Medium","Medium","Medium","Medium","High","Medium","High","Medium","Medium","Low","Medium","Low","Medium","High","High","High","Medium","Medium","Medium","High","Medium","Medium","Medium","Medium","Low","Medium","Low","Low","Medium","High","Low","High","High","Medium","Medium","Low","Low","Medium"
"1950","62.16758","58.69954","62.90646",NA,"64.61433","65.83807","51.66615","47.47802","65.15080","59.90610","65.18150","68.39401","62.04349","68.72687","59.25636","65.13569","52.63326","65.14561","60.21185","61.00049","60.50410","60.33999","59.40273",NA,"64.67327","64.07893","64.91467","56.97483","47.68605","57.67803",NA,"69.57641","67.03228","66.66252","56.07409","57.69523","54.15904","63.90347","58.65751","71.69606","51.49225","55.85091","48.45985","47.90544","65.16180","68.34946","64.66709","64.93792","66.13550","49.74690",NA,"58.33762","52.20410",NA,NA,"63.66963","56.64748",NA,"61.38213","56.15105","50.99177","56.82318","58.41887","61.20332",NA,"68.67823","58.15609","51.64453","64.27669","53.00247","64.70131","64.49525","57.25647","49.01281","62.60097","49.28548","60.86957","58.82704","58.30374","62.00456","66.66796","61.01946","67.45721",NA,"63.27177","54.77214","55.79893","57.32326","57.44149",NA,NA,"64.95722","59.68084","58.01063","59.88075","67.26588","62.57391",NA,"55.21658","63.02286","51.75219","65.99895","54.41555","55.10971","55.56835",NA,"52.10940","70.06432","64.51425","68.41212","60.04261","60.32124","57.47963","63.41454"
"1951","65.20097","54.34438","70.21036",NA,"63.45541","64.61826","57.68635","48.85684","65.87632","60.42660","59.83142","67.59877","61.79564","67.86451","62.69901","72.38321","58.47605","60.98845","60.58433","61.08288","60.79155","56.10826","60.28817",NA,"61.82413","64.64648","62.57927","59.36445","49.61859","60.12487",NA,"65.18042","68.24951","67.74898","61.54259","56.62088","55.32293","60.94463","57.75431","71.15437","53.96334","57.78861","54.53848","48.82247","65.02108","66.65957","62.39139","64.23388","63.81518","50.53498",NA,"59.80207","57.97631",NA,NA,"66.37655","55.83962",NA,"59.55395","58.14706","54.74330","56.42940","54.66309","58.43479",NA,"73.08472","53.81587","52.70589","66.81432","55.60163","63.20243","61.80549","58.11202","44.06418","65.42973","51.32131","60.72961","60.95194","57.95481","59.91516","66.58227","57.99320","61.87245",NA,"67.49998","53.42138","59.35401","60.56289","57.21862",NA,NA,"66.54648","59.31821","61.16642","60.10954","68.05575","62.48129",NA,"59.45725","63.52693","56.79463","66.03772","53.00277","55.92800","59.27914",NA,"54.48458","69.57880","66.66184","65.89176","61.29954","58.48415","58.54428","65.49684"
"1952","65.30030","53.70153","67.25394",NA,"63.14905","63.25948","60.39762","53.96572","65.84652","60.95809","60.82161","63.33768","63.79401","68.14068","64.57057","67.31916","57.50824","65.46542","61.19967","62.49724","62.21987","57.05922","59.80737",NA,"61.29213","63.60322","56.90096","60.30821","51.62761","57.54225",NA,"69.29183","68.03822","64.84242","59.88222","57.81473","58.44806","60.57506","60.95974","71.05031","55.06923","59.40894","56.52186","56.46351","61.67856","67.78581","61.97106","64.35411","64.40845","54.10113",NA,"59.79312","60.76148",NA,NA,"66.83123","60.44188",NA,"58.39963","59.05707","54.16252","58.45128","55.72021","56.11768",NA,"73.49103","53.98703","58.31292","64.78624","57.27583","61.76812","61.63817","54.42941","46.79174","62.16999","50.23438","63.52314","59.41585","61.04401","62.55084","70.30973","62.30567","67.13615",NA,"66.25628","52.12538","60.10070","55.39604","62.61995",NA,NA,"65.97849","57.26599","56.73456","58.49592","68.34764","64.89353",NA,"61.72845","62.83794","57.07823","63.95510","53.90455","56.69418","60.32481",NA,"60.12297","67.05239","66.95117","63.74071","54.53733","53.82130","59.87101","61.09572"
"1953","63.97491","57.16289","70.47183",NA,"65.52167","64.31749","56.67785","55.78814","65.96997","64.56538","61.27220","65.09184","61.55840","68.95495","64.84351","68.75285","58.23611","67.91986","63.98998","60.73244","62.52590","61.08320","64.67958",NA,"60.82049","66.46688","58.24377","59.55112","53.13729","60.60877",NA,"67.43267","66.16443","63.24024","61.51628","61.20816","57.43498","61.77404","56.85591","71.80718","54.16363","57.86261","53.56021","53.83635","63.21027","65.41301","64.28507","66.40258","63.48627","53.52174",NA,"60.70688","65.00922",NA,NA,"66.43411","54.98167",NA,"62.39248","60.95668","51.73340","55.21263","58.01587","58.42411",NA,"73.93313","55.65156","63.29317","66.87139","57.96874","64.17540","68.67396","55.36061","51.81197","66.85563","51.53112","60.34534","61.49094","58.24503","63.76740","70.35840","61.68042","64.74766",NA,"67.22544","50.55052","60.75230","57.72437","62.39893",NA,NA,"66.47089","59.41062","56.76102","56.98874","68.94043","63.03706",NA,"59.98692","67.13863","56.82573","63.84657","57.95452","56.51391","66.46885",NA,"60.98226","67.16284","66.15977","64.53370","62.92147","56.35735","57.29362","62.68590"
"1954","63.61815","62.10764","67.38260",NA,"65.51696","65.99413","56.23914","53.92033","64.20976","60.54518","61.64045","67.43385","60.28268","69.05378","64.32025","68.68359","58.02255","66.86575","62.75082","62.67805","60.71546","62.48629","60.86770",NA,"63.25551","67.86776","63.10045","60.18192","52.83762","59.67929",NA,"71.69453","69.58180","70.90981","62.32437","61.02215","57.53892","58.65223","58.58661","71.74039","52.55800","58.80726","51.08517","52.22680","65.45490","68.06918","64.22814","66.55008","67.07023","55.03356",NA,"61.17068","55.20303",NA,NA,"63.31887","56.52960",NA,"61.66678","58.38163","53.63063","57.65841","62.08381","61.82391",NA,"70.50601","55.06582","60.71572","64.73837","55.37558","64.02504","66.03099","54.74091","51.82054","65.31007","49.61600","61.99516","60.39095","59.15426","61.35966","71.30064","63.69682","69.53341",NA,"69.06536","52.67633","59.43781","56.31291","59.21110",NA,NA,"66.30763","60.31384","58.47132","57.97717","68.10829","63.36553",NA,"60.42324","64.36121","55.53210","65.93912","54.69043","56.51254","57.72279",NA,"57.31932","67.09538","69.74668","64.40312","57.72444","55.85116","59.68623","63.38610"
"1955","65.13170","60.28152","70.71989",NA,"64.10161","63.85683","52.38044","47.83739","67.58433","57.89079","59.28074","70.99600","63.28164","70.64997","61.38293","66.86877","54.81909","68.24676","64.57091","63.84619","59.74357","60.18667","64.51939",NA,"68.97797","68.18942","63.78551","61.58773","49.56743","60.80698",NA,"70.50426","66.30014","66.29886","60.00889","59.88619","56.14266","59.58848","58.56915","70.33281","50.41439","57.51284","47.29740","48.79713","67.43734","65.03465","65.01865","69.62383","66.68367","51.15677",NA,"57.72304","54.50789",NA,NA,"65.85687","57.70544",NA,"60.42920","53.18178","53.46460","61.93500","58.89131","61.42262",NA,"72.37981","57.68886","60.08539","66.01111","54.91061","67.62459","64.36594","57.26347","49.77364","66.36396","48.41292","64.96211","60.60404","56.83001","62.09769","72.93622","63.86956","70.45470",NA,"66.35398","51.37253","56.26897","57.86952","57.10339",NA,NA,"66.37741","60.20744","60.55348","59.61158","70.93458","64.59187",NA,"57.97693","62.21300","53.64151","65.22657","51.66143","57.92913","56.46512",NA,"55.20845","68.71338","70.21658","67.76017","62.59898","54.98200","60.70492","63.43790"
"1956","64.62185","56.49577","71.63504",NA,"63.01003","62.70914","55.59869","51.75612","65.65487","61.16294","58.63967","66.72066","61.57831","69.71356","64.67811","66.03776","54.53059","65.61497","62.15116","63.72430","63.66704","62.16712","63.36650",NA,"65.38796","68.03382","61.68087","60.28994","53.22376","59.49840",NA,"71.57929","65.06641","67.04141","63.36219","60.29794","56.20182","62.10628","58.36479","72.98108","53.64754","61.25946","48.95998","51.93422","65.63200","67.82981","64.24196","66.75444","62.67938","53.96789",NA,"59.62255","56.70966",NA,NA,"63.15040","60.21440",NA,"62.27066","58.72927","51.56136","57.85625","62.26297","61.87360",NA,"73.35430","57.74013","61.56854","66.83873","58.99714","65.36840","64.66692","54.88362","49.76091","64.08246","51.93915","63.13197","59.32004","62.27888","62.49688","71.68440","60.52529","70.54719",NA,"67.16993","50.97141","57.47472","58.28875","56.83222",NA,NA,"65.16758","60.97166","58.44903","59.64477","68.17108","61.71578",NA,"58.30395","63.52115","57.84298","66.41412","53.73515","56.78417","61.28737",NA,"54.93891","68.28871","68.55574","66.98942","58.66137","56.07732","58.28931","64.10318"
"1957","62.48899","57.06935","64.95178",NA,"63.65079","64.69004","55.60165","57.14058","69.03476","64.44112","58.25155","65.35017","62.84763","70.36733","67.25175","64.01777","59.46495","66.38844","60.32252","64.52861","63.22449","61.70185","62.81323",NA,"58.44169","64.45270","59.12619","60.11562","51.85676","60.42476",NA,"72.33427","65.71029","68.38615","64.47396","61.22942","56.46676","62.02005","58.90168","70.27804","53.07077","61.61047","49.61289","50.68503","63.70995","67.38354","63.63761","64.56080","63.55712","51.68517",NA,"60.59082","61.32645",NA,NA,"64.83314","54.34724",NA,"63.43104","59.21981","54.45634","59.62110","58.31397","57.61608",NA,"68.15878","55.56502","59.89881","64.31150","58.71518","64.88881","63.66501","55.52489","53.47268","65.11564","52.02769","62.41419","61.25795","61.90870","62.88368","66.44562","61.50878","70.50273",NA,"67.82672","49.49426","58.41968","55.88607","54.01304",NA,NA,"64.63376","61.28894","57.28621","60.52394","70.48882","63.63381",NA,"62.18734","62.79398","59.10577","63.72781","51.19382","52.76172","63.21621",NA,"61.37861","67.10570","69.06564","65.39373","63.29661","57.81437","58.06188","65.81035"
"1958","63.60094","54.26640","62.92968",NA,"62.52919","66.24298","58.71088","52.57331","64.79062","62.18774","61.84144","65.27567","60.33952","70.47757","62.55162","65.52631","58.06633","66.60442","61.61382","63.88120","63.08392","65.03878","63.03167",NA,"61.09601","67.17775","56.96263","58.29833","51.64885","59.38159",NA,"65.96170","67.81761","65.43626","64.18811","59.70093","58.80741","61.37155","59.61508","71.48016","52.32718","59.96299","52.94073","55.53142","64.09366","67.57269","62.32615","66.70757","63.29685","52.65308",NA,"59.33924","59.70765",NA,NA,"66.34605","57.78958",NA,"62.70231","62.09688","51.11592","58.32792","61.87359","60.65497",NA,"66.08782","56.61967","60.81567","66.57889","59.80135","66.13317","65.81239","55.39151","50.88611","64.38337","52.51155","61.63372","59.45930","62.05141","62.21921","62.95069","59.13561","70.68696",NA,"67.86608","51.17122","55.60533","56.16657","59.19168",NA,NA,"66.89733","58.89373","60.45292","62.09859","68.97972","64.64516",NA,"59.99318","63.18571","59.49770","63.68024","51.55901","56.97572","61.54615",NA,"63.32696","66.21924","67.52183","66.24137","62.49203","57.01888","56.54243","62.14416"
"1959","65.60477","52.89916","63.66285",NA,"64.88904","62.56551","57.49119","50.57540","68.29306","61.11666","59.14967","66.28543","61.52146","73.15446","64.93518","64.72081","58.97737","64.53566","59.16571","62.20896","62.37249","64.02339","62.70382",NA,"59.75307","66.77487","59.13889","60.16076","50.62555","58.89177",NA,"69.22610","66.31011","66.04736","61.86111","58.75412","57.75664","59.21994","60.30905","71.07200","52.78126","58.82025","50.79666","51.46264","65.19174","66.21912","63.81830","67.49876","65.20533","51.22489",NA,"59.94704","55.03831",NA,NA,"62.45402","57.32247",NA,"58.22098","56.50889","54.77663","58.86107","57.92806","60.11885",NA,"67.01574","55.40447","59.85195","64.67024","52.61715","68.70646","64.61242","54.70714","48.61050","66.20469","50.22579","61.70577","60.96105","63.32815","62.22137","69.24799","60.83667","71.54563",NA,"64.08300","53.47979","57.89923","54.77422","61.22216",NA,NA,"65.23399","59.82914","56.37994","59.80235","66.33485","63.25368",NA,"59.00938","62.91080","58.27627","65.73015","51.97755","59.24064","57.16943",NA,"60.34641","70.14394","67.13264","66.42925","59.09471","51.63027","58.23068","61.92796"
